data_sessao,nome_discursante,genero_discursante,categoria_discursante,tempo_fala
2021-04-27,OTTO ALENCAR,Masculino,Senador/a,2160
2021-04-27,CIRO NOGUEIRA,Masculino,Senador/a,480
2021-04-27,JORGINHO MELLO,Masculino,Senador/a,960
2021-04-27,IZALCI LUCAS,Masculino,Senador/a,0
2021-04-27,ALESSANDRO VIEIRA,Masculino,Senador/a,240
2021-04-27,EDUARDO BRAGA,Masculino,Senador/a,1200
2021-04-27,EDUARDO GIRÃO,Masculino,Senador/a,960
2021-04-27,MARCOS ROGÉRIO,Masculino,Senador/a,1440
2021-04-27,OMAR AZIZ,Masculino,Senador/a,1200
2021-04-27,HUMBERTO COSTA,Masculino,Senador/a,240
2021-04-27,ROGÉRIO CARVALHO,Masculino,Senador/a,240
2021-04-27,WEVERTON,Masculino,Senador/a,0
2021-04-27,ELIZIANE GAMA,Feminino,Senador/a,480
2021-04-27,RANDOLFE RODRIGUES,Masculino,Senador/a,480
2021-04-27,PAULO ROCHA,Masculino,Senador/a,480
2021-04-27,FLÁVIO BOLSONARO,Masculino,Senador/a,480
2021-04-27,RENAN CALHEIROS,Masculino,Senador/a,1920
2021-04-27,FERNANDO BEZERRA COELHO,Masculino,Senador/a,1440
2021-04-27,LUIS CARLOS HEINZE,Masculino,Senador/a,480
2021-04-27,ANGELO CORONEL,Masculino,Senador/a,240
2021-04-29,OMAR AZIZ,Masculino,Senador/a,3840
2021-04-29,CIRO NOGUEIRA,Masculino,Senador/a,480
2021-04-29,ROGÉRIO CARVALHO,Masculino,Senador/a,240
2021-04-29,MARCOS ROGÉRIO,Masculino,Senador/a,480
2021-04-29,RANDOLFE RODRIGUES,Masculino,Senador/a,0
2021-04-29,IZALCI LUCAS,Masculino,Senador/a,240
2021-04-29,RENAN CALHEIROS,Masculino,Senador/a,1680
2021-04-29,EDUARDO GIRÃO,Masculino,Senador/a,240
2021-04-29,LEILA BARROS,Feminino,Senador/a,0
2021-04-29,ZENAIDE MAIA,Feminino,Senador/a,0
2021-04-29,JEAN PAUL PRATES,Masculino,Senador/a,240
2021-04-29,EDUARDO BRAGA,Masculino,Senador/a,0
2021-04-29,HUMBERTO COSTA,Masculino,Senador/a,240
2021-04-29,LUIS CARLOS HEINZE,Masculino,Senador/a,240
2021-04-29,ALESSANDRO VIEIRA,Masculino,Senador/a,0
2021-05-04,OMAR AZIZ,Masculino,Senador/a,2400
2021-05-04,CIRO NOGUEIRA,Masculino,Senador/a,240
2021-05-04,EDUARDO GIRÃO,Masculino,Senador/a,1200
2021-05-04,ELIZIANE GAMA,Feminino,Senador/a,960
2021-05-04,RANDOLFE RODRIGUES,Masculino,Senador/a,720
2021-05-04,IZALCI LUCAS,Masculino,Senador/a,240
2021-05-04,MARCOS ROGÉRIO,Masculino,Senador/a,480
2021-05-04,OTTO ALENCAR,Masculino,Senador/a,480
2021-05-04,HUMBERTO COSTA,Masculino,Senador/a,480
2021-05-04,RENAN CALHEIROS,Masculino,Senador/a,1440
2021-05-04,SIMONE TEBET,Feminino,Senador/a,720
2021-05-04,ALESSANDRO VIEIRA,Masculino,Senador/a,0
2021-05-04,LUIZ HENRIQUE MANDETTA,Masculino,Depoente/Convidado,13680
2021-05-04,TASSO JEREISSATI,Masculino,Senador/a,480
2021-05-04,EDUARDO BRAGA,Masculino,Senador/a,720
2021-05-04,JEAN PAUL PRATES,Masculino,Senador/a,240
2021-05-04,FERNANDO BEZERRA COELHO,Masculino,Senador/a,720
2021-05-04,ROGÉRIO CARVALHO,Masculino,Senador/a,720
2021-05-04,JORGINHO MELLO,Masculino,Senador/a,720
2021-05-04,ANGELO CORONEL,Masculino,Senador/a,240
2021-05-04,MARCOS DO VAL,Masculino,Senador/a,0
2021-05-04,LUIS CARLOS HEINZE,Masculino,Senador/a,960
2021-05-04,ZENAIDE MAIA,Feminino,Senador/a,240
