data,depoente_convidado,tipo_entidade,entidade,frequencia
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Ministério da Saúde,74
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,SUS,21
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Organização Mundial da Saúde,18
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Câmara,12
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Fiocruz,10
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Casa,9
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Anvisa,9
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Senado,6
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Conep,5
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Organização Mundial de Saúde,4
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Governo Federal,4
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Butantan,4
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Ministério,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,União,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,CGU,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Tribunal de Contas da União,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Presidência,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Opas,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,USP,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Pfizer,3
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Senado da República,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Legislativo,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,TCU,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Takaoka,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,CTIs,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Dasa,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Estado A,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Estado B,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Congresso,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Conselho Federal de Medicina,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Presidência da República,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,OMS,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,AGU,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Conitec,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Parlamento,2
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Comissão Parlamentar de Inquérito,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Casa Legislativa,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,ONU,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Samu,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Previne Brasil,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Comissão Intergestores Tripartite,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Conass,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Conasems,1
20210504,LUIZ HENRIQUE MANDETTA,ORGANIZACAO,Brics,1
